Categoria	Subcategoria	Tema
Razonamiento formal		Modelado y formalización de problemas
Razonamiento formal		Razonamiento ecuacional sobre programas
Razonamiento formal		Razonamiento axiomático sobre programas (lógica de Hoare)
Técnicas de resolución		Generalización y reducción
Técnicas de resolución		Invariantes
Técnicas de resolución		Monotonía
Técnicas de resolución		Análisis de elementos especiales (e.g. analizar máximos y mínimos)
Técnicas de resolución		Coloreos (e.g. cubrir un tablero de ajedrez sin esquinas con piezas de dominó)
Técnicas de resolución		Principio del palomar (e.g. mayor hueco de menor a mayor en O(N))
Técnicas de resolución		"Inversión del problema (""mirar para atras"", e.g. perros de OIA 2019)"
Técnicas de resolución		Separación en componentes independientes
Grafos	Basico	Nociones elementales y definiciones de teoria de grafos
Grafos	Caminos especiales	Circuito euleriano, teorema de existencia <=>, algoritmos para construirlo
Grafos	Caminos especiales	Circuito hamiltoniano, teoremas de Ore / Dirac
Grafos	Representaciones	Matriz de Adyacencia
Grafos	Representaciones	Matriz de Incidencia
Grafos	Representaciones	Listas de Adyacencia
Grafos	Representaciones	Lista de incidencia
Grafos	Representaciones	Grafo Implícito
Grafos	BFS	Algoritmo basico.
Grafos	BFS	BFS con cola de dos puntas [Aristas 0 y 1]
Grafos	BFS	BFS con K+1 bolsas [aristas 0..K]
Grafos	DFS	Implementacion con stack
Grafos	DFS	Implementacion recursiva
Grafos	DFS	Clasificacion de aristas en grafo no-dirigido ({tree,back}-edges)
Grafos	DFS	Clasificacion de aristas en grafo dirigido ({tree,back,forward,cross}-edges)
Grafos	DFS	Ordenamiento Topologico
Grafos	DFS	Clausura transitiva
Grafos	DFS	Componentes Fuertemente Conexas
Grafos	DFS	Deteccion de puntos de articulacion y puentes
Grafos	DFS	Componentes Biconexas
Grafos	DFS	Block-cut tree
Grafos	Caminos minimos	Dijkstra en N^2
Grafos	Caminos minimos	Dijkstra en (N + M) log N
Grafos	Caminos minimos	Distancia Min-Max (Prim)
Grafos	Caminos minimos	Bellman-Ford y su implementacion tipica.
Grafos	Caminos minimos	Bellman-Ford como programacion dinamica.
Grafos	Caminos minimos	Bellman-Ford para contar caminos entre pares de nodos.
Grafos	Caminos minimos	Bellman-Ford, deteccion y tratamiento de ciclos negativos
Grafos	Caminos minimos	Floyd-Warshall Vision como programacion dinamica.
Grafos	Caminos minimos	Floyd-Warshall y su implementacion tipica.
Grafos	Caminos minimos	Floyd-Warshall, para contar caminos entre pares de nodos.
Grafos	Caminos minimos	Floyd-Warshall como producto de matrices de adyacencia / Potencias de la matriz de adyacencia.
Grafos	Caminos minimos	Floyd-Warshall, eteccion y tratamiento de ciclos negativos
Grafos	Caminos minimos	Reconstruir caminos	Guardando padres
Grafos	Caminos minimos	Reconstruir caminos	Chequeando la cuentita de la DP
Grafos	Arbol recubridor minimo	Kruskal	y su implementación tipica con Union-Find
Grafos	Arbol recubridor minimo	Relación del Minimum Spanning Tree con la distancia Min-Max.
Grafos	Arbol recubridor minimo	Aplicación a calcular la distancia min-max todos contra todos en N^2
Grafos	Arbol recubridor minimo	Solución alternativa para el mismo problema: hacerlo en el mismo Kruskal que calcula el MST
Grafos	Flujo y derivados	Algoritmo de Khun -- Matching Maximo Bipartito O(VE)
Grafos	Flujo y derivados	Modelado de problemas con flujo maximo
Grafos	Flujo y derivados	Modelado de problemas con corte minimo, dualidad con flujo maximo
Grafos	Flujo y derivados	Algoritmo de Edmonds-Karp
Grafos	Flujo y derivados	Algoritmo de Dinitz
Grafos	Flujo y derivados	Algoritmos de Preflow-Push
Grafos	Flujo y derivados	Manejo de la red residual de un grafo.
Grafos	Flujo y derivados	Teoremas de König, Hall y Menger.
Grafos	Flujo y derivados	Mínimo Cubrimiento por Caminos. Mínima Partición en Caminos. Teorema de Dilworth
Grafos	Flujo y derivados	Min-cost max-flow
Grafos	Flujo y derivados	min vertex cover / max independent set en grafo bipartito
Grafos	Árboles	Detección, recorrido.
Grafos	Árboles	Representación de arbol con raiz: Padre de cada nodo
Grafos	Árboles	"Representación de arbol con raiz: Lista de adyacencia del dirigido ""bajando desde la raíz""."
Grafos	Árboles	Radio, centro y diámetro de un árbol en tiempo lineal.
Grafos	Grafos planares	Fórmula de Euler
Grafos	Grafos planares	Los grafos planares son ralos
Grafos	Grafos planares	Max-clique en grafo planar
Grafos	Grafos planares	Grafo dual
Grafos	Grafos planares	Construir Grafo dual de un grafo planar (dado el embedding)
Complejidad computacional		"Entendimiento de la notacion asintotica (La O grande de ""O(N)"")"
Complejidad computacional		Analisis amortizado de complejidad
Complejidad computacional		Nocion de P, NP, NP completo, algoritmo polinomial, etc
Complejidad computacional		Problemas NP completos conocidos (Camino hamiltoniano, TSP, Maximum independent set, Minimum dominating set, subset sum, etc.)
Complejidad computacional		Problemas que no se sabe que sean P ni NP completo (Factorización entera, logaritmo discreto, isomorfismo de grafos)
Ordenamiento		Busqueda lineal
Ordenamiento		Busqueda binaria (con LA RECETA)
Ordenamiento		Counting Sort
Ordenamiento		MergeSort
Ordenamiento		QuickSort
Ordenamiento		Mediana (o elemento iesimo) en tiempo lineal esperado (n\_th element)
Ordenamiento		HeapSort
Ordenamiento		BubbleSort
Ordenamiento		InsertionSort
Ordenamiento		RadixSort
Estructuras de datos	Básicas	Arreglos
Estructuras de datos	Básicas	Listas enlazadas
Estructuras de datos	Básicas	Colas
Estructuras de datos	Básicas	Pilas
Estructuras de datos	C++	STL (set, multiset, map, multimap, vector, queue, stack, deque, priority\_queue, list, etc)
Estructuras de datos	C++	Policy based data structures de GCC (en especial indexed\_set)
Estructuras de datos	Árboles	Árboles con raíz generales
Estructuras de datos	Árboles	Árbol binario de búsqueda (ABB)
Estructuras de datos	Árboles	ABB balanceado (por ej, Treap)
Estructuras de datos	Árboles	Heap (para priority queue), heapsort, heapify en O(N)
Estructuras de datos	Árboles	Tries
Estructuras de datos	Consultas sobre arreglos	Tablas Aditivas (prefix sums)
Estructuras de datos	Consultas sobre arreglos	Binary Index Tree (Fenwick Tree)
Estructuras de datos	Consultas sobre arreglos	Union Find (Implementacion con listas y con arbol)
Estructuras de datos	Consultas sobre arreglos	RMQ (Segment tree sobre arreglo)
Estructuras de datos	Consultas sobre arreglos	Sliding Windows, Sliding-RMQ (para en O(N) calcular el RMQ de subarreglos de un tamaño K dado)
Estructuras de datos	Consultas sobre arreglos	RMQ/Fenwick 2D
Estructuras de datos	Consultas sobre árboles	Binary lifting en árbol con raíz
Estructuras de datos	Consultas sobre árboles	LCA en O(lg n) mediante Euler Tour + RMQ
Estructuras de datos	Consultas sobre árboles	LCA en O(lg n) mediante binary lifting
Estructuras de datos	Consultas sobre árboles	Distancias en un arbol en O(log N) con LCA
Estructuras de datos	Consultas sobre árboles	Heavy Light Decomposition
Estructuras de datos	Varias	Tabla hash
Estructuras de datos	Varias	Estructuras de datos persistentes (con path copying)
Estructuras de datos	Varias	Estructuras de datos para arboles dinamicos (link-cut trees)
Estructuras de datos	Varias	Principio small-to-large
Algoritmos con sqrt()		sqrt-decomposition: Separar la secuencia del input en bloques de sqrt(N)
Algoritmos con sqrt()		Algoritmo de MO: separar queries por posicion inicial en bloques de sqrt(N)
Algoritmos con sqrt()		Combinar dos algoritmos O(nk) y O(n^2/k)
Algoritmos con sqrt()		Agrupar updates en bloques de sqrt(U), hacer queries iterando por las updates dentro de cada bloque
Algoritmos con sqrt()		Hay <= sqrt(N) elementos que aparecen >= sqrt(N) veces
Algoritmos con sqrt()		Si una suma es igual a N, hay <= sqrt(N) valores distintos
Strings		Algoritmo KMP, y que significa su tablita.
Strings		Z-Array
Strings		Rabin-Karp, y uso del concepto de hash en general.
Strings		xor-hashing y sum-hashing con una tabla de números aleatorios
Strings		Suffix Array (Algoritmo de Larsson y Sadakane), LCP
Strings		Matching con automatas deterministas y no deterministas (dado un automata ya hecho)
Strings		Suffix Tree
Strings		Suffix Automaton
Strings		Automata de Aho-Corasick (version multicadena de KMP)
Strings		Algoritmo de Manacher (tabla de radio de palindromos)
Strings		Factorización de Lyndon (Mínima factorización en rotaciones mínimas)
